year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0001,FLake
2014,22.691,208,0,0,10.839,263,3.6894,304,130,130,130,133,263,133,263,p0001,FLake
2015,20.162,185,0,0,19.731,186,3.6937,300,7,2.25,36,176,183,155,235,p0001,FLake
2016,20.664,205,0,0,9.4401,274,3.4417,307,133,133,133,141,274,141,274,p0001,FLake
2013,0,364,0,364,3.8731,364,3.8731,364,NA,NA,NA,NA,NA,NA,NA,p0002,FLake
2014,25.423,205,0,0,14.02,258,3.6616,312,128,66.5,133,130,258,121,258,p0002,FLake
2015,24.608,185,0,0,10.06,272,3.735,302,144,144,144,126,270,126,270,p0002,FLake
2016,22.283,159,0,0,16.179,252,3.1975,308,114,17.2857142857143,121,129,243,129,257,p0002,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0003,FLake
2014,25.837,206,0,0,14.161,258,3.4993,311,126,126,126,130,256,130,256,p0003,FLake
2015,25.974,185,0,0,9.8051,273,3.0992,308,146,146,146,127,273,127,273,p0003,FLake
2016,21.14,205,0,0,19.82,159,3.0665,309,9,2.16666666666667,65,153,162,131,257,p0003,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0004,FLake
2014,24.814,205,0,0,12.341,263,3.8476,311,131,68.5,137,129,260,122,260,p0004,FLake
2015,23.905,185,0,0,13.775,245,3.535,301,92,15,105,153,245,133,253,p0004,FLake
2016,21.57,205,0,0,14.963,258,3.206,308,121,61,122,136,257,131,257,p0004,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0005,FLake
2014,22.825,209,0,0,11.519,261,3.71929999999999,311,130,130,130,131,261,131,261,p0005,FLake
2015,20.892,185,0,0,20.378,186,3.698,301,7,2.375,38,176,183,155,235,p0005,FLake
2016,19.459,205,0,0,19.328,206,3.0842,308,7,1.9047619047619,40,155,162,145,247,p0005,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0006,FLake
2014,17.055,208,0,0,7.8229,261,3.8733,155,100,100,100,161,261,161,261,p0006,FLake
2015,14.444,195,0,0,6.7185,269,3.7463,290,82,82,82,180,262,180,262,p0006,FLake
2016,16.358,206,0,0,8.8606,264,3.6012,287,90,90,90,174,264,174,264,p0006,FLake
2013,0,364,0,364,3.97999999999999,364,3.97999999999999,364,NA,NA,NA,NA,NA,NA,NA,p0007,FLake
2014,28.993,206,0,0,12.75,270,3.7515,311,163,163,163,104,267,104,267,p0007,FLake
2015,28.905,185,0,0,21.787,198,3.0508,317,27,4,108,169,196,109,262,p0007,FLake
2016,26.791,158,0,0,14.059,270,3.4633,309,146,73.5,147,124,270,121,270,p0007,FLake
2013,0,364,0,364,3.52609999999999,364,3.52609999999999,364,NA,NA,NA,NA,NA,NA,NA,p0008,FLake
2014,29.417,205,0,0,12.675,268,3.53619999999999,0,163,163,163,104,267,104,267,p0008,FLake
2015,29.184,185,0,0,12.973,258,3.695,318,150,75.5,151,108,258,108,262,p0008,FLake
2016,26.495,159,0,0,12.133,273,3.8264,308,163,163,163,110,273,110,273,p0008,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0009,FLake
2014,28.914,205,0,0,14.31,264,3.7112,311,157,79.5,159,107,264,104,264,p0009,FLake
2015,27.643,185,0,0,13.477,256,2.5573,321,148,50,150,108,256,108,270,p0009,FLake
2016,25.82,159,0,0,12.866,272,3.54390000000001,0,160,160,160,110,270,110,270,p0009,FLake
2013,0,364,0,364,3.5111,364,3.5111,364,NA,NA,NA,NA,NA,NA,NA,p0010,FLake
2014,25.267,206,0,0,24.716,207,3.4055,311,9,3.04,76,198,207,116,258,p0010,FLake
2015,27.065,185,0,0,12.118,262,3.6703,308,141,141,141,121,262,121,262,p0010,FLake
2016,22.491,203,0,0,21.058,159,2.8828,309,11,2.93103448275862,85,201,212,126,264,p0010,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0011,FLake
2014,27.863,206,0,0,17.728,233,3.7718,311,98,14.3333333333333,129,135,233,110,262,p0011,FLake
2015,27.83,185,0,0,20.938,198,3.2153,317,29,3.57692307692308,93,169,198,122,253,p0011,FLake
2016,25.854,158,0,0,13.541,270,3.4564,309,146,146,146,124,270,124,270,p0011,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0012,FLake
2014,27.345,206,0,0,15.99,250,3.4113,311,112,18.2857142857143,128,130,242,113,258,p0012,FLake
2015,27.503,185,0,0,12.399,258,3.4884,308,138,138,138,120,258,120,258,p0012,FLake
2016,24.956,158,0,0,10.03,276,3.0131,309,152,152,152,124,276,124,276,p0012,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0013,FLake
2014,23.332,208,0,0,10.637,264,3.6632,120,134,134,134,130,264,130,264,p0013,FLake
2015,23.634,185,0,0,10.099,262,3.6478,301,122,122,122,140,262,140,262,p0013,FLake
2016,21.475,203,0,0,8.7229,276,3.4829,307,140,140,140,136,276,136,276,p0013,FLake
2013,0,364,0,364,3.98,364,3.98,364,NA,NA,NA,NA,NA,NA,NA,p0014,FLake
2014,22,208,0,0,17.712,169,3.7988,129,43,7.875,63,182,225,143,225,p0014,FLake
